10:42:16.740 [Info      ] -   Comet: AI Server
10:42:16.756 [Info      ] -   Copyright 2022-2024 Felipe Vieira Vendramini "Konichu"
10:42:16.756 [Info      ] -   All Rights Reserved
10:42:16.757 [Info      ] - Initializing server...
10:42:18.543 [Debug     ] - Map[001028] MapDoc[1028] IronMine Partition: 00 loaded...
10:42:18.555 [Debug     ] - Map[001027] MapDoc[1027] SilverMine Partition: 01 loaded...
10:42:18.564 [Debug     ] - Map[001026] MapDoc[1026] CopperMine Partition: 00 loaded...
10:42:18.574 [Debug     ] - Map[001025] MapDoc[1025] IronMine Partition: 01 loaded...
10:42:18.586 [Debug     ] - Map[001036] MapDoc[1036] Market Partition: 00 loaded...
10:42:18.602 [Debug     ] - Map[001038] MapDoc[1038] GuildArea Partition: 01 loaded...
10:42:18.622 [Debug     ] - Map[001039] MapDoc[1039] TrainingGround Partition: 00 loaded...
10:42:18.640 [Debug     ] - Map[001063] MapDoc[1063] AdventureIsland Partition: 01 loaded...
10:42:19.327 [Debug     ] - Map[001062] MapDoc[1062] Maze3 Partition: 00 loaded...
10:42:19.333 [Debug     ] - Map[001042] MapDoc[1042] PassPortal Partition: 01 loaded...
10:42:19.342 [Debug     ] - Map[001043] MapDoc[1043] Peace Partition: 00 loaded...
10:42:19.350 [Debug     ] - Map[001044] MapDoc[1044] Chaos Partition: 01 loaded...
10:42:19.357 [Debug     ] - Map[001045] MapDoc[1045] Deserted Partition: 00 loaded...
10:42:19.365 [Debug     ] - Map[001046] MapDoc[1046] Prosperous Partition: 01 loaded...
10:42:19.374 [Debug     ] - Map[001047] MapDoc[1047] Disturbed Partition: 00 loaded...
10:42:19.382 [Debug     ] - Map[001048] MapDoc[1048] Calmed Partition: 01 loaded...
10:42:19.390 [Debug     ] - Map[001049] MapDoc[1049] Death Partition: 00 loaded...
10:42:19.398 [Debug     ] - Map[001050] MapDoc[1050] Life Partition: 01 loaded...
10:42:19.442 [Debug     ] - Map[001051] MapDoc[1079] MysticIsland Partition: 00 loaded...
10:42:19.465 [Debug     ] - Map[001052] MapDoc[1082] TestIsland Partition: 01 loaded...
10:42:20.203 [Debug     ] - Map[001061] MapDoc[1061] Maze2 Partition: 00 loaded...
10:42:20.860 [Debug     ] - Map[001060] MapDoc[1060] Maze1 Partition: 01 loaded...
10:42:21.557 [Debug     ] - Map[001041] MapDoc[1041] PrizeClaimingMa Partition: 00 loaded...
10:42:21.583 [Debug     ] - Map[001040] MapDoc[1040] SkyCityPass Partition: 01 loaded...
10:42:21.591 [Debug     ] - Map[001070] MapDoc[1070] SnakeDen Partition: 00 loaded...
10:42:21.649 [Debug     ] - Map[001075] MapDoc[1075] NewCanyon Partition: 01 loaded...
10:42:21.705 [Debug     ] - Map[001076] MapDoc[1076] NewForest Partition: 00 loaded...
10:42:21.762 [Debug     ] - Map[001077] MapDoc[1077] NewDesert Partition: 01 loaded...
10:42:21.839 [Debug     ] - Map[001078] MapDoc[1078] NewIsland Partition: 00 loaded...
10:42:21.852 [Debug     ] - Map[001080] MapDoc[1018] Arena2 Partition: 01 loaded...
10:42:21.864 [Debug     ] - Map[001081] MapDoc[1018] Arena3 Partition: 00 loaded...
10:42:21.875 [Debug     ] - Map[001100] MapDoc[1100] MoonPlatform Partition: 01 loaded...
10:42:21.884 [Debug     ] - Map[001101] MapDoc[1101] MoonPlatform Partition: 00 loaded...
10:42:21.894 [Debug     ] - Map[001102] MapDoc[1102] MoonPlatform Partition: 01 loaded...
10:42:21.903 [Debug     ] - Map[001103] MapDoc[1103] MoonPlatform Partition: 00 loaded...
10:42:21.914 [Debug     ] - Map[001104] MapDoc[1104] MoonPlatform Partition: 01 loaded...
10:42:21.930 [Debug     ] - Map[001105] MapDoc[1105] MoonPlatform Partition: 00 loaded...
10:42:21.941 [Debug     ] - Map[001106] MapDoc[1106] MoonPlatform Partition: 01 loaded...
10:42:21.952 [Debug     ] - Map[001107] MapDoc[1107] MoonPlatform Partition: 00 loaded...
10:42:21.961 [Debug     ] - Map[001108] MapDoc[1108] MoonPlatform Partition: 01 loaded...
10:42:21.971 [Debug     ] - Map[001109] MapDoc[1109] MoonPlatform Partition: 00 loaded...
10:42:21.978 [Debug     ] - Map[005000] MapDoc[1025] NPCJail Partition: 01 loaded...
10:42:21.985 [Debug     ] - Map[006000] MapDoc[6000] PKerJail Partition: 00 loaded...
10:42:21.991 [Debug     ] - Map[006001] MapDoc[6001] Jail Partition: 01 loaded...
10:42:21.998 [Debug     ] - Map[006010] MapDoc[6000] AFKerJail Partition: 00 loaded...
10:42:22.025 [Debug     ] - Map[001201] MapDoc[1201] GlobeQuest1 Partition: 01 loaded...
10:42:22.057 [Debug     ] - Map[001202] MapDoc[1202] GlobeQuest2 Partition: 00 loaded...
10:42:22.158 [Debug     ] - Map[001204] MapDoc[1204] GlobeQuest4 Partition: 01 loaded...
10:42:22.257 [Debug     ] - Map[001205] MapDoc[1205] GlobeQuest5 Partition: 00 loaded...
10:42:22.356 [Debug     ] - Map[001207] MapDoc[1207] GlobeQuest7 Partition: 01 loaded...
10:42:22.424 [Debug     ] - Map[001208] MapDoc[1208] GlobeQuest8 Partition: 00 loaded...
10:42:22.485 [Debug     ] - Map[001210] MapDoc[1210] GlobeQuest10 Partition: 01 loaded...
10:42:22.543 [Debug     ] - Map[001211] MapDoc[1211] GlobeQuest11 Partition: 00 loaded...
10:42:22.685 [Debug     ] - Map[001212] MapDoc[1212] GlobeIsland Partition: 01 loaded...
10:42:22.759 [Debug     ] - Map[001213] MapDoc[1213] GlobeDesert Partition: 00 loaded...
10:42:22.885 [Debug     ] - Map[001214] MapDoc[1214] GlobeCanyon Partition: 01 loaded...
10:42:22.944 [Debug     ] - Map[001215] MapDoc[1215] GlobeForest Partition: 00 loaded...
10:42:23.006 [Debug     ] - Map[001216] MapDoc[1216] GlobePlain Partition: 01 loaded...
10:42:23.062 [Debug     ] - Map[001217] MapDoc[1075] JointCanyon Partition: 00 loaded...
10:42:23.071 [Debug     ] - Map[001218] MapDoc[1025] CopperMine Partition: 01 loaded...
10:42:23.248 [Debug     ] - Map[001219] MapDoc[1212] GlobeExit Partition: 00 loaded...
10:42:23.255 [Debug     ] - Map[002000] MapDoc[1500] IronMine2 Partition: 01 loaded...
10:42:23.262 [Debug     ] - Map[002001] MapDoc[1501] IronMine2F Partition: 00 loaded...
10:42:23.314 [Debug     ] - Map[001300] MapDoc[1001] DemonCave Partition: 01 loaded...
10:42:23.321 [Debug     ] - Map[002002] MapDoc[1500] IronMine3F Partition: 00 loaded...
10:42:23.327 [Debug     ] - Map[002003] MapDoc[1501] IronMine3F Partition: 01 loaded...
10:42:23.333 [Debug     ] - Map[002004] MapDoc[1500] IronMine3F Partition: 00 loaded...
10:42:23.341 [Debug     ] - Map[002005] MapDoc[1501] IronMine3F Partition: 01 loaded...
10:42:23.348 [Debug     ] - Map[002006] MapDoc[1503] IronMine4F Partition: 00 loaded...
10:42:23.353 [Debug     ] - Map[002007] MapDoc[1502] IronMine4F Partition: 01 loaded...
10:42:23.359 [Debug     ] - Map[002008] MapDoc[1503] IronMine4F Partition: 00 loaded...
10:42:23.365 [Debug     ] - Map[002009] MapDoc[1502] IronMine4F Partition: 01 loaded...
10:42:23.371 [Debug     ] - Map[002010] MapDoc[1503] IronMine4F Partition: 00 loaded...
10:42:23.379 [Debug     ] - Map[002011] MapDoc[1502] IronMine4F Partition: 01 loaded...
10:42:23.385 [Debug     ] - Map[002012] MapDoc[1503] IronMine4F Partition: 00 loaded...
10:42:23.391 [Debug     ] - Map[002013] MapDoc[1502] IronMine4F Partition: 01 loaded...
10:42:23.397 [Debug     ] - Map[002020] MapDoc[1500] CopperMine2F Partition: 00 loaded...
10:42:23.403 [Debug     ] - Map[002021] MapDoc[1501] CopperMine2F Partition: 01 loaded...
10:42:23.412 [Debug     ] - Map[002022] MapDoc[1500] CopperMine3F Partition: 00 loaded...
10:42:23.417 [Debug     ] - Map[002023] MapDoc[1501] CopperMine3F Partition: 01 loaded...
10:42:23.424 [Debug     ] - Map[002024] MapDoc[1500] CopperMine3F Partition: 00 loaded...
10:42:23.431 [Debug     ] - Map[002025] MapDoc[1501] CopperMine3F Partition: 01 loaded...
10:42:23.436 [Debug     ] - Map[002026] MapDoc[1503] CopperMine4F Partition: 00 loaded...
10:42:23.444 [Debug     ] - Map[002027] MapDoc[1502] CopperMine4F Partition: 01 loaded...
10:42:23.450 [Debug     ] - Map[002028] MapDoc[1503] CopperMine4F Partition: 00 loaded...
10:42:23.457 [Debug     ] - Map[002029] MapDoc[1502] CopperMine4F Partition: 01 loaded...
10:42:23.463 [Debug     ] - Map[002030] MapDoc[1503] CopperMine4F Partition: 00 loaded...
10:42:23.469 [Debug     ] - Map[002031] MapDoc[1502] CopperMine4F Partition: 01 loaded...
10:42:23.480 [Debug     ] - Map[002032] MapDoc[1503] CopperMine4F Partition: 00 loaded...
10:42:23.486 [Debug     ] - Map[002033] MapDoc[1502] CopperMine4F Partition: 01 loaded...
10:42:23.492 [Debug     ] - Map[002040] MapDoc[1500] SilverMine2F Partition: 00 loaded...
10:42:23.498 [Debug     ] - Map[002041] MapDoc[1501] SilverMine2F Partition: 01 loaded...
10:42:23.504 [Debug     ] - Map[002042] MapDoc[1500] SilverMine3F Partition: 00 loaded...
10:42:23.512 [Debug     ] - Map[002043] MapDoc[1501] SilverMine3F Partition: 01 loaded...
10:42:23.517 [Debug     ] - Map[002044] MapDoc[1500] SilverMine3F Partition: 00 loaded...
10:42:23.524 [Debug     ] - Map[002045] MapDoc[1501] SilverMine3F Partition: 01 loaded...
10:42:23.530 [Debug     ] - Map[002046] MapDoc[1503] SilverMine4F Partition: 00 loaded...
10:42:23.536 [Debug     ] - Map[002047] MapDoc[1502] SilverMine4F Partition: 01 loaded...
10:42:23.544 [Debug     ] - Map[002048] MapDoc[1503] SilverMine4F Partition: 00 loaded...
10:42:23.550 [Debug     ] - Map[002049] MapDoc[1502] SilverMine4F Partition: 01 loaded...
10:42:23.557 [Debug     ] - Map[002050] MapDoc[1503] SilverMine4F Partition: 00 loaded...
10:42:23.563 [Debug     ] - Map[002051] MapDoc[1502] SilverMine4F Partition: 01 loaded...
10:42:23.569 [Debug     ] - Map[002052] MapDoc[1503] SilverMine4F Partition: 00 loaded...
10:42:23.578 [Debug     ] - Map[002053] MapDoc[1502] SilverMine4F Partition: 01 loaded...
10:42:23.584 [Debug     ] - Map[006002] MapDoc[6000] MacroJail Partition: 00 loaded...
10:42:23.601 [Debug     ] - Map[001351] MapDoc[1351] Labyrinth Partition: 01 loaded...
10:42:23.629 [Debug     ] - Map[001352] MapDoc[1352] Labyrinth Partition: 00 loaded...
10:42:23.683 [Debug     ] - Map[001353] MapDoc[1353] Labyrinth Partition: 01 loaded...
10:42:23.730 [Debug     ] - Map[001354] MapDoc[1354] Labyrinth Partition: 00 loaded...
10:42:23.734 [Debug     ] - Map[001095] MapDoc[1091] Arena2 Partition: 01 loaded...
10:42:23.743 [Debug     ] - Map[001094] MapDoc[1090] Arena1 Partition: 00 loaded...
10:42:23.749 [Debug     ] - Map[001093] MapDoc[1091] Arena2 Partition: 01 loaded...
10:42:23.758 [Debug     ] - Map[001092] MapDoc[1090] Arena1 Partition: 00 loaded...
10:42:23.763 [Debug     ] - Map[001091] MapDoc[1091] Arena2 Partition: 01 loaded...
10:42:23.769 [Debug     ] - Map[001090] MapDoc[1090] Arena1 Partition: 00 loaded...
10:42:23.779 [Debug     ] - Map[001505] MapDoc[1505] CityArena1 Partition: 01 loaded...
10:42:23.790 [Debug     ] - Map[001515] MapDoc[1505] CityArena1 Partition: 00 loaded...
10:42:23.799 [Debug     ] - Map[001525] MapDoc[1505] CityArena1 Partition: 01 loaded...
10:42:23.806 [Debug     ] - Map[001506] MapDoc[1506] CityArena2 Partition: 00 loaded...
10:42:23.815 [Debug     ] - Map[001516] MapDoc[1506] CityArena2 Partition: 01 loaded...
10:42:23.822 [Debug     ] - Map[001526] MapDoc[1506] CityArena2 Partition: 00 loaded...
10:42:23.828 [Debug     ] - Map[001511] MapDoc[1004] FurnitureStore Partition: 01 loaded...
10:42:23.835 [Debug     ] - Map[001528] MapDoc[1508] CityArena4 Partition: 00 loaded...
10:42:23.845 [Debug     ] - Map[001518] MapDoc[1508] CityArena4 Partition: 01 loaded...
10:42:23.852 [Debug     ] - Map[001508] MapDoc[1508] CityArena4 Partition: 00 loaded...
10:42:23.860 [Debug     ] - Map[001451] MapDoc[1017] MeteorArena Partition: 01 loaded...
10:42:23.868 [Debug     ] - Map[004025] MapDoc[2024] BattleFormation Partition: 00 loaded...
10:42:23.895 [Debug     ] - Map[004024] MapDoc[2023] RightCloister Partition: 01 loaded...
10:42:23.922 [Debug     ] - Map[004023] MapDoc[2023] LeftCloister Partition: 00 loaded...
10:42:23.937 [Debug     ] - Map[004022] MapDoc[2022] HellHall Partition: 01 loaded...
10:42:23.965 [Debug     ] - Map[004021] MapDoc[2021] HellGate Partition: 00 loaded...
10:42:24.023 [Debug     ] - Map[005002] MapDoc[1002] Trap Partition: 01 loaded...
10:42:24.038 [Debug     ] - Map[001551] MapDoc[1551] HalloweenCity1 Partition: 00 loaded...
10:42:24.052 [Debug     ] - Map[001550] MapDoc[1550] HalloweenCity1 Partition: 01 loaded...
10:42:24.057 [Debug     ] - Map[000700] MapDoc[0700] LotteryMap Partition: 00 loaded...
10:42:24.145 [Debug     ] - Map[001700] MapDoc[1700] EvilAbyss Partition: 01 loaded...
10:42:24.149 [Debug     ] - Map[001500] MapDoc[1734] ClassPKArena1 Partition: 00 loaded...
10:42:24.154 [Debug     ] - Map[001501] MapDoc[1730] ClassPKArena2 Partition: 01 loaded...
10:42:24.159 [Debug     ] - Map[001502] MapDoc[1735] ClassPKArena3 Partition: 00 loaded...
10:42:24.163 [Debug     ] - Map[001837] MapDoc[1734] ClassPKArena4 Partition: 01 loaded...
10:42:24.168 [Debug     ] - Map[001838] MapDoc[1730] ClassPKArena5 Partition: 00 loaded...
10:42:24.173 [Debug     ] - Map[001839] MapDoc[1735] ClassPKArena6 Partition: 01 loaded...
10:42:24.179 [Debug     ] - Map[001928] MapDoc[1735] ClassPKArena10 Partition: 00 loaded...
10:42:24.183 [Debug     ] - Map[001946] MapDoc[1730] ClassPKArena7 Partition: 01 loaded...
10:42:24.187 [Debug     ] - Map[001947] MapDoc[1730] ClassPKArena8 Partition: 00 loaded...
10:42:24.193 [Debug     ] - Map[001948] MapDoc[1730] ClassPKArena9 Partition: 01 loaded...
10:42:24.197 [Debug     ] - Map[003000] MapDoc[1734] ClassPKArena10 Partition: 00 loaded...
10:42:24.201 [Debug     ] - Map[003001] MapDoc[1730] ClassPKArena11 Partition: 01 loaded...
10:42:24.206 [Debug     ] - Map[003002] MapDoc[1735] ClassPKArena12 Partition: 00 loaded...
10:42:24.212 [Debug     ] - Map[003003] MapDoc[1730] ClassPKArena13 Partition: 01 loaded...
10:42:24.217 [Debug     ] - Map[003004] MapDoc[1734] ClassPKArena14 Partition: 00 loaded...
10:42:24.223 [Debug     ] - Map[003005] MapDoc[1730] ClassPKArena15 Partition: 01 loaded...
10:42:24.229 [Debug     ] - Map[003006] MapDoc[1735] ClassPKArena16 Partition: 00 loaded...
10:42:24.234 [Debug     ] - Map[003007] MapDoc[1730] ClassPKArena17 Partition: 01 loaded...
10:42:24.241 [Debug     ] - Map[003008] MapDoc[1734] ClassPKArena18 Partition: 00 loaded...
10:42:24.254 [Debug     ] - Map[003009] MapDoc[1730] ClassPKArena19 Partition: 01 loaded...
10:42:24.260 [Debug     ] - Map[003010] MapDoc[1735] ClassPKArena20 Partition: 00 loaded...
10:42:24.265 [Debug     ] - Map[003011] MapDoc[1730] ClassPKArena21 Partition: 01 loaded...
10:42:24.272 [Debug     ] - Map[003012] MapDoc[1734] ClassPKArena22 Partition: 00 loaded...
10:42:24.280 [Debug     ] - Map[003013] MapDoc[1730] ClassPKArena23 Partition: 01 loaded...
10:42:24.285 [Debug     ] - Map[003014] MapDoc[1735] ClassPKArena24 Partition: 00 loaded...
10:42:24.291 [Debug     ] - Map[003015] MapDoc[1730] ClassPKArena25 Partition: 01 loaded...
10:42:24.297 [Debug     ] - Map[003016] MapDoc[1734] ClassPKWarArena26 Partition: 00 loaded...
10:42:24.303 [Debug     ] - Map[003017] MapDoc[1730] ClassPKWarArena27 Partition: 01 loaded...
10:42:24.310 [Debug     ] - Map[003018] MapDoc[1735] ClassPKWarArena28 Partition: 00 loaded...
10:42:24.315 [Debug     ] - Map[003019] MapDoc[1730] ClassPKWarArena29 Partition: 01 loaded...
10:42:24.320 [Debug     ] - Map[003862] MapDoc[1734] ClassPKArena34 Partition: 00 loaded...
10:42:24.326 [Debug     ] - Map[003863] MapDoc[1730] ClassPKArena35 Partition: 01 loaded...
10:42:24.332 [Debug     ] - Map[003864] MapDoc[1735] ClassPKArena36 Partition: 00 loaded...
10:42:24.336 [Debug     ] - Map[003865] MapDoc[1730] ClassPKArena37 Partition: 01 loaded...
10:42:24.343 [Debug     ] - Map[009903] MapDoc[1734] ClassPKArena30 Partition: 00 loaded...
10:42:24.348 [Debug     ] - Map[009904] MapDoc[1730] ClassPKArena31 Partition: 01 loaded...
10:42:24.352 [Debug     ] - Map[009905] MapDoc[1735] ClassPKArena32 Partition: 00 loaded...
10:42:24.356 [Debug     ] - Map[009906] MapDoc[1730] ClassPKArena33 Partition: 01 loaded...
10:42:24.361 [Debug     ] - Map[010392] MapDoc[1734] ClassPKArena42 Partition: 00 loaded...
10:42:24.365 [Debug     ] - Map[010393] MapDoc[1730] ClassPKArena43 Partition: 01 loaded...
10:42:24.370 [Debug     ] - Map[010394] MapDoc[1735] ClassPKArena44 Partition: 00 loaded...
10:42:24.375 [Debug     ] - Map[010395] MapDoc[1730] ClassPKArena45 Partition: 01 loaded...
10:42:24.376 [Warning   ] - Could not load map 2058(2071): map data not found
10:42:24.377 [Error     ] - Could not load 
10:42:24.405 [Debug     ] - Map[001762] MapDoc[1762] FrozenGrotto1 Partition: 00 loaded...
10:42:24.435 [Debug     ] - Map[001927] MapDoc[1762] FrozenGrotto2 Partition: 01 loaded...
10:42:24.436 [Warning   ] - Could not load map 1999(1999): map data not found
10:42:24.437 [Error     ] - Could not load 
10:42:24.437 [Warning   ] - Could not load map 2054(2054): map data not found
10:42:24.438 [Error     ] - Could not load 
10:42:24.438 [Warning   ] - Could not load map 2055(2055): map data not found
10:42:24.439 [Error     ] - Could not load 
10:42:24.439 [Warning   ] - Could not load map 2056(2056): map data not found
10:42:24.439 [Error     ] - Could not load 
10:42:24.440 [Warning   ] - Could not load map 2057(2057): map data not found
10:42:24.440 [Error     ] - Could not load 
10:42:24.441 [Warning   ] - Could not load map 2071(2071): map data not found
10:42:24.441 [Error     ] - Could not load 
10:42:24.442 [Warning   ] - Could not load map 2072(2071): map data not found
10:42:24.443 [Error     ] - Could not load 
10:42:24.443 [Warning   ] - Could not load map 2073(2071): map data not found
10:42:24.443 [Error     ] - Could not load 
10:42:24.444 [Warning   ] - Could not load map 2074(2071): map data not found
10:42:24.444 [Error     ] - Could not load 
10:42:24.445 [Warning   ] - Could not load map 2060(2060): map data not found
10:42:24.445 [Error     ] - Could not load 
10:42:24.450 [Debug     ] - Map[000601] MapDoc[0601] OfflineTG Partition: 00 loaded...
10:42:24.457 [Debug     ] - Map[001072] MapDoc[1508] CityArena4 Partition: 01 loaded...
10:42:24.462 [Debug     ] - Map[002080] MapDoc[0700] LineSkillPKTournamentMap Partition: 00 loaded...
10:42:24.472 [Debug     ] - Map[001806] MapDoc[1806] OrchidGarden Partition: 01 loaded...
10:42:24.479 [Debug     ] - Map[001782] MapDoc[1004] TreasureHouse Partition: 00 loaded...
10:42:24.485 [Debug     ] - Map[001783] MapDoc[1004] TreasureHouse1 Partition: 01 loaded...
10:42:24.490 [Debug     ] - Map[001784] MapDoc[0601] Hut Partition: 00 loaded...
10:42:24.496 [Debug     ] - Map[001785] MapDoc[1785] Dungeon1F Partition: 01 loaded...
10:42:24.502 [Debug     ] - Map[001786] MapDoc[1786] Dungeon2F Partition: 00 loaded...
10:42:24.508 [Debug     ] - Map[001787] MapDoc[1787] Dungeon3F Partition: 01 loaded...
10:42:24.516 [Debug     ] - Map[001794] MapDoc[1028] ViperCave Partition: 00 loaded...
10:42:24.524 [Debug     ] - Map[001792] MapDoc[1014] SwanLake Partition: 01 loaded...
10:42:24.529 [Debug     ] - Map[001791] MapDoc[1765] RoseGarden Partition: 00 loaded...
10:42:24.533 [Debug     ] - Map[900000] MapDoc[900000] PlayersArena Partition: 01 loaded...
10:42:24.538 [Debug     ] - Map[001863] MapDoc[1730] TwinCityArena Partition: 00 loaded...
10:42:24.544 [Debug     ] - Map[001864] MapDoc[1730] WindPlainArena Partition: 01 loaded...
10:42:24.549 [Debug     ] - Map[001868] MapDoc[1733] PhoenixCastleArena Partition: 00 loaded...
10:42:24.553 [Debug     ] - Map[001869] MapDoc[1733] MapleForestArena Partition: 01 loaded...
10:42:24.559 [Debug     ] - Map[001873] MapDoc[1735] ApeCityArena Partition: 00 loaded...
10:42:24.563 [Debug     ] - Map[001874] MapDoc[1735] LoveCanyonArena Partition: 01 loaded...
10:42:24.568 [Debug     ] - Map[001878] MapDoc[1737] BirdIslandArena Partition: 00 loaded...
10:42:24.578 [Debug     ] - Map[001879] MapDoc[1737] BirdIslandArena Partition: 01 loaded...
10:42:24.582 [Debug     ] - Map[001883] MapDoc[1732] DesertCityArena Partition: 00 loaded...
10:42:24.587 [Debug     ] - Map[001884] MapDoc[1732] DesertArena Partition: 01 loaded...
10:42:24.641 [Debug     ] - Map[002075] MapDoc[1002] CastleWar Partition: 00 loaded...
10:42:24.663 [Warning   ] - Could not load map 1000000(0): map data not found
10:42:24.769 [Error     ] - Could not load monster (21) for generator (125)
10:42:24.769 [Error     ] - Could not load monster (22) for generator (126)
10:42:24.770 [Error     ] - Could not load monster (23) for generator (127)
10:42:24.770 [Error     ] - Could not load monster (24) for generator (128)
10:42:24.770 [Error     ] - Could not load monster (21) for generator (185)
10:42:24.770 [Error     ] - Could not load monster (22) for generator (186)
10:42:24.770 [Error     ] - Could not load monster (23) for generator (187)
10:42:24.771 [Error     ] - Could not load monster (24) for generator (188)
10:42:24.771 [Error     ] - Could not load monster (26) for generator (190)
10:42:24.771 [Error     ] - Could not load monster (27) for generator (191)
10:42:24.771 [Error     ] - Could not load monster (28) for generator (192)
10:42:24.771 [Error     ] - Could not load monster (29) for generator (193)
10:42:24.772 [Error     ] - Could not load monster (7006) for generator (341)
10:42:24.772 [Error     ] - Could not load monster (3526) for generator (1600)
10:42:24.772 [Error     ] - Could not load monster (3526) for generator (1601)
10:42:24.772 [Error     ] - Could not load monster (3526) for generator (1602)
10:42:24.772 [Error     ] - Could not load monster (3550) for generator (1650)
10:42:24.773 [Error     ] - Could not load monster (3551) for generator (1651)
10:42:24.773 [Error     ] - Could not load monster (2093) for generator (3910)
10:42:24.773 [Error     ] - Could not load monster (2093) for generator (3911)
10:42:24.774 [Error     ] - Could not load monster (2094) for generator (3912)
10:42:24.774 [Error     ] - Could not load monster (2094) for generator (3913)
10:42:24.774 [Error     ] - Could not load monster (2094) for generator (3914)
10:42:24.774 [Error     ] - Could not load monster (2094) for generator (3915)
10:42:24.774 [Error     ] - Could not load monster (2094) for generator (3916)
10:42:24.774 [Error     ] - Could not load monster (2094) for generator (3917)
10:42:24.775 [Error     ] - Could not load monster (2094) for generator (3918)
10:42:24.775 [Error     ] - Could not load monster (2095) for generator (3920)
10:42:24.775 [Error     ] - Could not load monster (2095) for generator (3921)
10:42:24.775 [Error     ] - Could not load monster (2095) for generator (3922)
10:42:24.775 [Error     ] - Could not load monster (2095) for generator (3923)
10:42:24.776 [Error     ] - Could not load monster (2095) for generator (3924)
10:42:24.776 [Error     ] - Could not load monster (2095) for generator (3925)
10:42:24.776 [Error     ] - Could not load monster (2095) for generator (3926)
10:42:24.776 [Error     ] - Could not load monster (2095) for generator (3927)
10:42:24.776 [Error     ] - Could not load monster (2095) for generator (3928)
10:42:24.776 [Error     ] - Could not load monster (2095) for generator (3929)
10:42:24.777 [Error     ] - Could not load map (2060) for generator (20344)
10:42:24.777 [Error     ] - Could not load map (2060) for generator (20345)
10:42:24.777 [Error     ] - Could not load map (2060) for generator (20346)
10:42:24.777 [Error     ] - Could not load map (2060) for generator (20347)
10:42:24.778 [Error     ] - Could not load map (2060) for generator (20348)
10:42:24.778 [Error     ] - Could not load map (2060) for generator (20349)
10:42:24.778 [Error     ] - Could not load map (2060) for generator (20350)
10:42:24.779 [Info      ] - Timer [Common Thread] has started
10:42:24.780 [Info      ] - Timer [Ai Thread] has started
10:42:24.781 [Info      ] - Timer [Generator Thread] has started
10:42:25.794 [Info      ] - Attempting connection with the account server on [192.168.0.106:8650]...
10:42:27.829 [Error     ] - No connection could be made because the target machine actively refused it.
10:42:30.850 [Info      ] - Attempting connection with the account server on [192.168.0.106:8650]...
10:42:32.871 [Error     ] - No connection could be made because the target machine actively refused it.
10:42:35.893 [Info      ] - Attempting connection with the account server on [192.168.0.106:8650]...
10:42:37.916 [Error     ] - No connection could be made because the target machine actively refused it.
10:42:40.955 [Info      ] - Attempting connection with the account server on [192.168.0.106:8650]...
10:42:42.995 [Error     ] - No connection could be made because the target machine actively refused it.
